n,distribution,label,method,clean_mae_pct,clean_sd,cont_upper_mae_pct_eps0.05,cont_lower_mae_pct_eps0.05
1500,Pareto I,Pareto I,MLE,1.7142895427188238,0.038618639037554435,34.82666993231091,nan
1500,Pareto I,Pareto I,L-moment,4.913154711757159,0.09626340600139101,29.996364635416217,3.5708593089974983
1500,Pareto I,Pareto I,Quantile,2.150994707104248,0.04859665360272209,2.021443207396241,2.021443207396241
1500,Pareto I,Pareto I,L1,3.2399632064571193,0.07378218847741809,2.404746061124907,3.3217370491225973
1500,Pareto I,Pareto I,L2,3.483081053345871,0.0752827859168788,2.401948821207589,3.3523322658134846
1500,Pareto I,Pareto I,MAD-Q13,2.192651961632482,0.0470380972959182,2.2241640045479754,1.817997015348697
1500,Lomax,Pareto II,MLE,1.8815104166667613,0.03975278190430821,34.807942708333336,1.8847656249999143
1500,Lomax,Pareto II,L-moment,6.909164518533073,0.1498398169014611,29.64234281678042,7.1674575904498035
1500,Lomax,Pareto II,Quantile,2.0788862023791337,0.04801117495008516,2.081880934050151,2.081880934050151
1500,Lomax,Pareto II,L1,3.1336003000857593,0.07513878102918972,2.4676910640760275,3.3859261466714585
1500,Lomax,Pareto II,L2,3.30044807946146,0.07659420464809585,2.467393569977731,3.5148776408068683
1500,Lomax,Pareto II,MAD-Q13,2.1540700014702985,0.0466107860111327,2.3793737288377783,1.9926585511945187
1500,Log-Logistic,Pareto III,MLE,1.4580564175876793,0.0318098302315163,28.53253393709189,28.89019708437322
1500,Log-Logistic,Pareto III,L-moment,4.062147336212737,0.09313901695468516,45.71479212260356,3.137588475613214
1500,Log-Logistic,Pareto III,Quantile,3.128422518686717,0.07223718908670115,3.9854853327157214,3.9854853327157214
1500,Log-Logistic,Pareto III,L1,3.2541928491353143,0.07183757057153788,3.3502725051806586,3.8486862424150408
1500,Log-Logistic,Pareto III,L2,3.306629229385516,0.07348360528657356,3.3466678068548195,4.056875888488443
1500,Log-Logistic,Pareto III,MAD-Q13,2.4377360847336846,0.06015806487605946,3.3524365487086927,2.983371834333045
1500,Pareto IV,Pareto IV,MLE,1.9929693628225609,0.041464153556830856,34.74582838799826,1.8328687424974843
1500,Pareto IV,Pareto IV,L-moment,7.222059348997778,0.16510264766228194,29.996364635416217,6.832928963261864
1500,Pareto IV,Pareto IV,Quantile,2.1509947071042554,0.050043194638137944,2.156926553570774,2.156926553570774
1500,Pareto IV,Pareto IV,L1,3.1069014322239337,0.07778158614599201,2.5411087507724917,3.397030439360482
1500,Pareto IV,Pareto IV,L2,3.2373450090715647,0.07916385102998967,2.548451234469007,3.492820940033766
1500,Pareto IV,Pareto IV,MAD-Q13,2.2064443326064094,0.049270837697490764,2.3988829653996664,2.091771553171329
1500,Frechet,Frechet,MLE,1.360677083333317,0.02949461245955748,26.048177083333393,12.968749999999973
1500,Frechet,Frechet,L-moment,4.114849665206877,0.10384288340795818,29.996364635416217,4.241843353821961
1500,Frechet,Frechet,Quantile,2.8897406850411826,0.06601500105269073,2.9855774263537027,2.9855774263537027
1500,Frechet,Frechet,L1,3.093327087990113,0.07776084168882733,2.6973894110337833,3.2392801287656723
1500,Frechet,Frechet,L2,3.1919525355439404,0.0790730311367437,2.7021005841932233,3.3413397868057597
1500,Frechet,Frechet,MAD-Q13,2.6742107531175563,0.06094191161113496,2.700810136391363,2.5293096671141844
1500,Gumbel,Gumbel,MLE,1.3240785909410357,0.019688439512717912,3859.667090549423,14.458638479817576
1500,Gumbel,Gumbel,L-moment,1.6039776772984182,0.02367993761772926,5399.652475977409,7.276138422435579
1500,Gumbel,Gumbel,Quantile,2.323277596075318,0.039038365977183354,2.584753218138819,3.2800907435938775
1500,Gumbel,Gumbel,L1,1.5407342887920172,0.02637827745654475,2.0905426469846775,5.98587450599018
1500,Gumbel,Gumbel,L2,1.5286874787535543,0.02440228580085987,2.0827360582836576,7.804999232204468
1500,Gumbel,Gumbel,MAD-Q13,1.6667883536606143,0.027491053228885017,2.1690385542051605,5.98587450599018
1500,Weibull,Weibull,MLE,1.271599552741387,0.02899966159185007,75.203431720239,25.418714165484012
1500,Weibull,Weibull,L-moment,1.28201473963796,0.03083971823703147,79.99625079310148,2.2028825276295834
1500,Weibull,Weibull,Quantile,2.4919866918079308,0.05619018624651533,2.3623083833376115,2.3623083833376115
1500,Weibull,Weibull,L1,1.650344792234959,0.04292905058624523,3.013345452661209,2.1780383709573066
1500,Weibull,Weibull,L2,1.648418915717705,0.041325848611935966,3.0193312963963326,2.080789355000097
1500,Weibull,Weibull,MAD-Q13,1.6395455409638309,0.0450366060714054,2.978929855201895,2.195809729593634
1500,Log-Normal,Log-Normal,MLE,1.2718123038930051,0.019162388286337213,94.73033573310681,96.27242736954258
1500,Log-Normal,Log-Normal,L-moment,1.7001858871877829,0.02695696421713803,185.55184709920655,1.8514261519999686
1500,Log-Normal,Log-Normal,Quantile,3.4355850453625325,0.04972314322933777,3.22314420291121,3.22314420291121
1500,Log-Normal,Log-Normal,L1,2.0937517875329323,0.029238949068450603,2.6454657076484533,1.934648038522474
1500,Log-Normal,Log-Normal,L2,1.9763718328925983,0.028578000275515065,2.6302858912023663,1.8111186479366492
1500,Log-Normal,Log-Normal,MAD-Q13,2.2100684489453237,0.031895374427409924,2.6399182783934547,2.0519916193802112
500,Pareto I,Pareto I,MLE,3.404580806560624,0.06904039283902404,32.711110942437735,nan
500,Pareto I,Pareto I,L-moment,7.506950077115179,0.13674053389616872,29.996364635416217,5.06526056105685
500,Pareto I,Pareto I,Quantile,3.949304840180723,0.08597259507082497,3.2396444692168,3.2396444692168
500,Pareto I,Pareto I,L1,5.673418880911085,0.10805273529040134,3.9252301983555484,4.1561009067942205
500,Pareto I,Pareto I,L2,5.653278959247853,0.10941586543430962,3.9316960404939776,4.271005587621968
500,Pareto I,Pareto I,MAD-Q13,3.7250955521485274,0.08397619669357478,3.8600379636526405,3.1402462431799005
500,Lomax,Pareto II,MLE,3.2877604166665706,0.06811732429151961,32.91992187499999,2.867838541666686
500,Lomax,Pareto II,L-moment,11.266706420818057,0.22544784445953228,29.701787380012036,10.446493489638057
500,Lomax,Pareto II,Quantile,3.726112133813279,0.08315886251730442,3.2396444692168442,3.2396444692168442
500,Lomax,Pareto II,L1,5.657452189926223,0.10997928072238795,3.793041725163711,4.725557426308505
500,Lomax,Pareto II,L2,5.39648190283113,0.1113351305382016,3.7831693125183268,4.878641069734376
500,Lomax,Pareto II,MAD-Q13,3.6884254202162126,0.08268987928398117,3.721411379101543,3.062720882606914
500,Log-Logistic,Pareto III,MLE,2.2364232805522613,0.054374636922986,25.684207112885517,26.392042825524697
500,Log-Logistic,Pareto III,L-moment,5.084517248341321,0.12603689373316523,45.70197441680502,5.595488402032361
500,Log-Logistic,Pareto III,Quantile,5.136089143845142,0.121658877099748,6.371032516172267,6.371032516172267
500,Log-Logistic,Pareto III,L1,4.5462866875810946,0.09861503876944525,6.612988012306342,6.542272878829558
500,Log-Logistic,Pareto III,L2,4.815647963680814,0.10102223980021159,6.622498579594938,6.588332882226245
500,Log-Logistic,Pareto III,MAD-Q13,3.9260051385288763,0.08703775429715126,6.233089624784298,4.9272624435660495
500,Pareto IV,Pareto IV,MLE,3.120955008485815,0.06739817868701084,32.73355110365176,2.6017233145022134
500,Pareto IV,Pareto IV,L-moment,11.031464206777393,0.23377987722627613,29.996364635416217,9.975312584946906
500,Pareto IV,Pareto IV,Quantile,3.6835627120705317,0.08142826868292048,3.1534662614422393,3.1534662614422393
500,Pareto IV,Pareto IV,L1,5.581536998651863,0.1076536144105958,3.663407968624403,4.737357477396195
500,Pareto IV,Pareto IV,L2,5.4392052117284635,0.10888355407658855,3.657229515981486,4.920788572400747
500,Pareto IV,Pareto IV,MAD-Q13,3.677662528671788,0.08132071668465336,3.441411499847047,2.9736000395337303
500,Frechet,Frechet,MLE,1.9889322916666785,0.052099142310077964,24.195963541666714,12.639973958333325
500,Frechet,Frechet,L-moment,6.0774905794840866,0.13408695711207552,29.996364635416217,5.818586812056722
500,Frechet,Frechet,Quantile,4.935222999464768,0.10832481282158585,4.318084486972433,4.318084486972433
500,Frechet,Frechet,L1,4.911420326587926,0.1032183702940423,4.089497765986142,4.6593081665041876
500,Frechet,Frechet,L2,4.958660235015262,0.10463996376201054,4.092736452431822,4.689322994978255
500,Frechet,Frechet,MAD-Q13,4.302940105872695,0.09600930200422726,4.0756261074861,3.9460461211778597
500,Gumbel,Gumbel,MLE,2.085077246772676,0.03453281062112581,3.804676419468167,14.3803675578773
500,Gumbel,Gumbel,L-moment,2.7590286091727423,0.04122081832210087,3.804676419468167,7.293413090959083
500,Gumbel,Gumbel,Quantile,4.444492043170123,0.06882478331706654,3.8443107353881234,5.025156997350266
500,Gumbel,Gumbel,L1,3.3046857381007544,0.047414282619591144,3.5356192840080123,6.198082565827984
500,Gumbel,Gumbel,L2,2.8126190326993927,0.042535151628071304,3.4922424244826002,8.01385822640896
500,Gumbel,Gumbel,MAD-Q13,3.1431271198116226,0.046356056191735315,3.513235263857195,6.323686227264808
500,Weibull,Weibull,MLE,2.002959704145124,0.05068775447174869,74.81800532887316,23.0568635355828
500,Weibull,Weibull,L-moment,2.272911906698168,0.05454300191906735,79.99625079310148,3.119337655927608
