year_month,monthly_max_gust_ms
2005-01,21.0
2005-02,16.1
2005-03,21.0
2005-04,23.0
2005-05,16.9
2005-06,16.4
2005-07,14.2
2005-08,14.5
2005-09,17.5
2005-10,17.5
2005-11,20.3
2005-12,19.2
2006-01,26.1
2006-02,18.7
2006-03,25.5
2006-04,25.5
2006-05,19.5
2006-06,19.3
2006-07,17.8
2006-08,16.7
2006-09,21.7
2006-10,24.7
2006-11,22.3
2006-12,16.8
2007-01,17.9
2007-02,27.1
2007-03,19.1
2007-04,21.1
2007-05,17.4
2007-06,24.1
2007-07,13.7
2007-08,17.6
2007-09,17.8
2007-10,19.7
2007-11,18.1
2007-12,22.1
2008-01,22.3
2008-02,19.6
2008-03,21.4
2008-04,23.3
2008-05,22.6
2008-06,20.5
2008-07,15.3
2008-08,15.1
2008-09,16.8
2008-10,21.6
2008-11,20.4
2008-12,21.9
2009-01,19.8
2009-02,23.9
2009-03,22.4
2009-04,26.9
2009-05,18.4
2009-06,20.3
2009-07,15.9
2009-08,15.1
2009-09,18.0
2009-10,17.3
2009-11,17.4
2009-12,24.3
2010-01,19.6
2010-02,19.5
2010-03,23.1
2010-04,22.4
2010-05,28.5
2010-06,18.2
2010-07,15.5
2010-08,16.0
2010-09,17.9
2010-10,23.8
2010-11,21.3
2010-12,19.7
2011-01,17.7
2011-02,23.0
2011-03,23.2
2011-04,24.4
2011-05,21.7
2011-06,18.8
2011-07,15.2
2011-08,13.6
2011-09,15.1
2011-10,23.7
2011-11,23.4
2011-12,18.0
2012-01,26.9
2012-02,22.7
2012-03,20.3
2012-04,22.2
2012-05,20.9
2012-06,18.4
2012-07,15.4
2012-08,14.8
2012-09,17.1
2012-10,19.6
2012-11,22.8
2012-12,22.9
2013-01,24.2
2013-02,23.8
2013-03,26.6
2013-04,23.3
2013-05,21.1
2013-06,18.3
2013-07,16.7
2013-08,14.8
2013-09,16.5
2013-10,19.7
2013-11,21.5
2013-12,18.0
2014-01,20.3
2014-02,20.7
2014-03,21.5
2014-04,22.1
2014-05,20.5
2014-06,21.6
2014-07,15.8
2014-08,16.0
2014-09,17.7
2014-10,21.9
2014-11,21.4
2014-12,22.9
2015-01,17.1
2015-02,19.4
2015-03,19.9
2015-04,22.0
2015-05,19.0
2015-06,15.1
2015-07,15.2
2015-08,14.6
2015-09,17.3
2015-10,18.0
2015-11,22.3
2015-12,24.9
2016-01,19.7
2016-02,19.1
2016-03,24.5
2016-04,21.8
2016-05,18.2
2016-06,15.3
2016-07,16.3
2016-08,14.6
2016-09,19.8
2016-10,19.0
2016-11,20.9
2016-12,24.0
2017-01,23.2
2017-02,23.2
2017-03,23.6
2017-04,20.3
2017-05,20.4
2017-06,20.9
2017-07,14.2
2017-08,17.5
2017-09,19.2
2017-10,18.7
2017-11,22.4
2017-12,18.0
2018-01,21.5
2018-02,20.4
2018-03,25.7
2018-04,25.8
2018-05,23.2
2018-06,20.4
2018-07,16.8
2018-08,16.7
2018-09,18.7
2018-10,17.0
2018-11,19.6
2018-12,22.8
2019-01,20.5
2019-02,22.1
2019-03,33.2
2019-04,26.0
2019-05,22.1
2019-06,20.6
2019-07,17.7
2019-08,16.9
2019-09,18.0
2019-10,19.2
2019-11,23.5
2019-12,19.2
2020-01,17.3
2020-02,24.6
2020-03,21.0
2020-04,21.0
2020-05,23.5
2020-06,24.7
2020-07,15.9
2020-08,16.8
2020-09,18.4
2020-10,19.6
2020-11,22.0
2020-12,20.3
2021-01,22.6
2021-02,18.3
2021-03,22.9
2021-04,19.3
2021-05,19.1
2021-06,19.2
2021-07,17.3
2021-08,15.6
2021-09,16.2
2021-10,21.2
2021-11,16.0
2021-12,26.1
2022-01,20.6
2022-02,20.8
2022-03,22.2
2022-04,25.0
2022-05,20.6
2022-06,17.7
2022-07,16.4
2022-08,14.7
2022-09,14.4
2022-10,20.9
2022-11,18.7
2022-12,20.4
2023-01,24.5
2023-02,28.2
2023-03,22.4
2023-04,22.8
2023-05,17.3
2023-06,16.9
2023-07,16.7
2023-08,16.3
2023-09,16.8
2023-10,20.6
2023-11,17.7
2023-12,17.6
2024-01,27.3
2024-02,23.5
2024-03,25.5
2024-04,22.5
2024-05,21.8
2024-06,18.5
2024-07,15.8
2024-08,15.6
2024-09,16.0
2024-10,17.9
2024-11,17.8
2024-12,19.2
2025-01,18.7
2025-02,17.9
2025-03,30.3
2025-04,21.2
2025-05,18.0
2025-06,18.4
2025-07,18.7
2025-08,16.0
2025-09,14.4
2025-10,20.3
2025-11,17.8
2025-12,17.3
