year_month,monthly_max_gust_ms
2005-01,19.6
2005-02,18.7
2005-03,18.6
2005-04,19.2
2005-05,17.4
2005-06,17.7
2005-07,17.6
2005-08,16.9
2005-09,17.3
2005-10,18.1
2005-11,19.6
2005-12,20.1
2006-01,19.0
2006-02,18.8
2006-03,18.2
2006-04,20.0
2006-05,17.8
2006-06,18.1
2006-07,18.8
2006-08,17.7
2006-09,17.0
2006-10,16.5
2006-11,16.6
2006-12,20.9
2007-01,22.2
2007-02,21.3
2007-03,18.2
2007-04,19.9
2007-05,18.1
2007-06,17.6
2007-07,17.7
2007-08,18.9
2007-09,17.1
2007-10,17.5
2007-11,17.1
2007-12,28.0
2008-01,20.1
2008-02,18.7
2008-03,18.0
2008-04,18.1
2008-05,16.4
2008-06,16.4
2008-07,18.0
2008-08,16.5
2008-09,14.4
2008-10,15.2
2008-11,18.6
2008-12,21.1
2009-01,19.9
2009-02,20.3
2009-03,19.7
2009-04,19.1
2009-05,13.3
2009-06,18.6
2009-07,16.6
2009-08,17.4
2009-09,16.6
2009-10,16.8
2009-11,19.4
2009-12,16.2
2010-01,18.4
2010-02,18.2
2010-03,21.1
2010-04,21.1
2010-05,19.0
2010-06,18.9
2010-07,17.2
2010-08,17.1
2010-09,16.0
2010-10,19.8
2010-11,17.7
2010-12,18.4
2011-01,22.5
2011-02,14.4
2011-03,20.7
2011-04,16.8
2011-05,18.3
2011-06,17.6
2011-07,19.2
2011-08,18.2
2011-09,14.6
2011-10,17.2
2011-11,19.2
2011-12,21.4
2012-01,18.1
2012-02,20.7
2012-03,19.0
2012-04,18.1
2012-05,19.8
2012-06,18.9
2012-07,18.0
2012-08,16.8
2012-09,15.9
2012-10,14.7
2012-11,16.4
2012-12,20.8
2013-01,20.9
2013-02,21.2
2013-03,18.7
2013-04,14.7
2013-05,15.8
2013-06,17.9
2013-07,18.5
2013-08,17.8
2013-09,16.6
2013-10,13.9
2013-11,18.1
2013-12,17.1
2014-01,19.9
2014-02,16.3
2014-03,20.2
2014-04,20.8
2014-05,14.9
2014-06,16.7
2014-07,15.9
2014-08,22.4
2014-09,15.0
2014-10,16.5
2014-11,18.3
2014-12,19.0
2015-01,28.5
2015-02,22.8
2015-03,17.0
2015-04,18.1
2015-05,17.7
2015-06,15.4
2015-07,15.5
2015-08,16.9
2015-09,19.5
2015-10,15.7
2015-11,19.1
2015-12,22.1
2016-01,14.5
2016-02,20.5
2016-03,19.3
2016-04,18.6
2016-05,15.8
2016-06,17.0
2016-07,18.7
2016-08,17.1
2016-09,18.9
2016-10,18.0
2016-11,20.4
2016-12,19.6
2017-01,19.8
2017-02,19.1
2017-03,19.5
2017-04,15.9
2017-05,16.4
2017-06,17.8
2017-07,16.2
2017-08,15.6
2017-09,16.1
2017-10,19.8
2017-11,18.7
2017-12,17.1
2018-01,21.3
2018-02,18.9
2018-03,19.5
2018-04,16.9
2018-05,17.6
2018-06,16.7
2018-07,17.3
2018-08,18.2
2018-09,24.9
2018-10,15.0
2018-11,16.5
2018-12,18.1
2019-01,17.8
2019-02,26.4
2019-03,17.1
2019-04,17.5
2019-05,16.0
2019-06,14.2
2019-07,16.7
2019-08,17.7
2019-09,16.5
2019-10,16.0
2019-11,17.6
2019-12,21.5
2020-01,20.3
2020-02,19.9
2020-03,19.2
2020-04,17.8
2020-05,17.6
2020-06,19.7
2020-07,17.8
2020-08,17.4
2020-09,16.1
2020-10,14.0
2020-11,19.7
2020-12,19.3
2021-01,18.6
2021-02,18.9
2021-03,18.0
2021-04,16.8
2021-05,16.4
2021-06,16.7
2021-07,17.7
2021-08,18.7
2021-09,18.2
2021-10,20.4
2021-11,15.3
2021-12,20.9
2022-01,12.1
2022-02,14.3
2022-03,16.5
2022-04,17.1
2022-05,15.6
2022-06,15.4
2022-07,17.4
2022-08,16.3
2022-09,13.5
2022-10,14.3
2022-11,18.1
2022-12,18.2
2023-01,14.8
2023-02,20.7
2023-03,22.1
2023-04,16.9
2023-05,15.6
2023-06,15.6
2023-07,19.1
2023-08,21.4
2023-09,17.2
2023-10,15.3
2023-11,20.0
2023-12,17.8
2024-01,21.1
2024-02,20.2
2024-03,19.1
2024-04,19.7
2024-05,16.9
2024-06,17.0
2024-07,17.6
2024-08,20.5
2024-09,16.6
2024-10,17.9
2024-11,19.7
2024-12,20.4
2025-01,21.4
2025-02,13.4
2025-03,18.9
2025-04,17.9
2025-05,17.3
2025-06,18.8
2025-07,19.4
2025-08,19.3
2025-09,17.1
2025-10,18.3
2025-11,19.3
2025-12,16.3
